{}type,description
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Hankering for a fight, Luffy's got a jump start on the battle to rescue Robin and Franky before they're sentenced by the Navy's court at Enies Lobby. Now that the Straw Hats and the Franky Family have banded together, the World Government is in for an epic battle. But did the Navy deceive Robin into sacrificing herself in order to trap the Straw Hats?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...The full plan to take down Big Mom is finally revealed, but can Luffy’s team actually pull off this tremendous challenge? The Straw Hats will need to work with some allies they don't even trust if they hope to suceed. But first things first: how will they crash the biggest wedding in the pirate world?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...The battle between Luffy and CP9 agent Rob Lucci escalates while the rest of the crew tries to escape to safety through the Gates of Justice. Suddenly, a fleet of warships sent by the Navy Headquarters arrives on the scene and begins bombarding the island. Will the crew get away before the island is blown to smithereens?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The Straw Hats find themselves caught in the Florian Triangle when the mysterious island ""Thriller Bark"" suddenly appears. Gecko Moria, one of the Seven Warlords, and his zombie army are also on the island, and they're preparing for a Night Hunt! Can the Straw Hat crew survive this fearsome evening?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...When the Straw Hats encounter a mysterious barrel on the open sea, little do they know that it's a trap. Losing control of their ship, they're steered toward Thriller Bark. Any rational sailor would think twice before going ashore on an island full of zombies. But with Luffy at the helm, the Straw Hats are in for a scare as they become the targets of the dreaded Gecko Moria!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Without a ship to sail, the Straw Hats are grounded for good. Luckily, the inhabitants of Water Seven rally together to help them out to show their appreciation. But the crew will need to set sail quickly when Vice Admiral Garp comes after them. Luffy knows all too well that he won't stand a chance if this fearsome Navy officer catches him!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and his crew have infiltrated the kingdom of Dressrosa in order to destroy Doflamingo’s Smile factory. But Luffy is quickly distracted when a fighting tournament opens with a certain special Devil Fruit as the prize! Can the Straw Hats fend off Doflamingo’s henchmen along with some of the world’s strongest warriors?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Captain Kuro of the Black Cat Pirates was the most feared evil genius on the high seas...until he vanished. Most people believe he's dead, but only his crew knows the truth: Captain Kuro has been lying low in a small seaside village, posing as a mild-mannered butler until the time for pillage is just right. Now that time has come, and the ruthless Black Cat Pirates are about to attack...Unless, of course, Monkey D.Luffy can stop them! All Luffy has on his side are his sword-wielding first mate, Zolo; his thieving navigator, Nami; Usopp, a local kid with a knack for telling lies; and his own bizarre rubber-limbed powers. If these four amateur pirates want to stop the entire Black Cat crew, they'll have to come up with a pretty slick plan..."
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Don Krieg's evil pirate armada attempts to hijack the oceangoing restaurant Baratie, but the pirate cooks put up a fierce resistance until Krieg reveals one of the greatest secret weapons in his arsenal—Invincible Pearl! When sous chef Sanji steps into the fray, it turns out that he and Chef Zeff have some unfinished business concerning the loss of the latter's leg! Will their differences come between them or make the Baratie stronger? Either way, unfortunately for Luffy, it turns out that Don Krieg harbors an even deadlier weapon—Gin, the very man whose life Sanji once saved with a square meal!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Luffy's pirates thought they were just stopping in for a quick bite...but now Luffy's been made a busboy on Baratie, the oceangoing restaurant, and it turns out some of the worst-mannered pirates on the Grand Line are just dying for a meal.Always one to look on the bright side, Luffy sets his sights on Sanji, the smart-talking, skirt-chasing assistant chef on the Baratie, as the Merry Go's new cook. But it'll take more than a vicious pirate battle and a little sweet talking from Nami to convince him to leave the Baratie and join Luffy's team. His oath to feed any and all pirates in need keeps getting in the way. The question is: what do you do when the very same pirates you just fed now want to serve you up for dinner?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Once upon a time, Usopp was just a local boy with a talent for tall tales. Everyone in his little seaside village knew him as the joker who claimed to be a pirate captain and woke people up in the mornings by shouting ""Pirates are coming!"" But then real pirates landed on the beach...Now Usopp's village is under attack by the Black Cat Pirates, one of the most legendary and feared crews on the high seas. And three young would-be pirates have joined him in defending the village: Nami the thief, Zolo the swordsman, and Luffy, the straw-hatted wannabe pirate with incredible rubber powers. Usopp is about to find out how an imaginary pirate stands up to the real thing... and what it means to be a real pirate. His neighbors would never believe it in a million years..."
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...As Luffy and the Straw Hats battle it out with the Doflamingo family, we flash back to the childhood of Trafalgar Law. What made him the man he is today, and what is the cause of the grudge he bears against Doflamingo?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and crew must contend with ""Saw-Tooth"" Arlong and his nasty Fish-Man pirates, who specialize in using mafia tactics to squeeze the lifeblood from innocent villagers. Needless to say, it comes as a big surprise to everyone that pirate-hating Nami is actually a member of Arlong's crew!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...The Straw Hats' flag floats on the water... Have they fallen at last to the relentless assault of Big Mom's deadly pirates?! Or can they escape and finally make their way to the mysterious country of Wano? Meanwhile, the world's leaders assemble for the Reverie. What is the world government plotting?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Big Mom’s hunger pangs have turned her into an unstoppable force of destruction and she has her eyes on the Thousand Sunny. The only thing that has any chance of stopping her is a giant wedding cake Sani is helping construct, but can they get it to her in time? Meanwhile, Luffy's battle against Katakuri heads to a climactic finish!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Luffy's navigator, Nami, has been working all along for ""Saw-Tooth"" Arlong to steal enough treasure to buy back her village. In return, the pirate has handed over her fortune to the Navy! Now Luffy and his crew prepare to risk their lives for Nami's sake against their most ruthless opponent yet."
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Determined to become stronger and challenge the toughest seas in the world, Luffy and his crew decide to go into training. When they finally reunite years later, they will meet brand new enemies and adventures!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The Straw Hats are just starting to get their bearings in the mysterious samurai kingdom of Wano when Kaido makes his grand appearance as a flying dragon! Kaido is known as the strongest creature alive, so the smart move would be not to antagonize him. But since when does Luffy do the smart thing?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Kaido is already the strongest creature in the world—and he’s about to form an alliance that would make his Animal Kingdom pirates even more powerful!! Meanwhile, Luffy and the Straw Hats continue to recruit members to their side. But unbeknownst to them, the balance of power in the world is beginning to change..."
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The Straw Hats’ adventures in the samurai kingdom of Wano keep getting crazier! And when they learn the horrible truth about the Smile fruits, their fury explodes!! Meanwhile, Luffy’s still stuck in the labor camp with a whole army trying to kill him. Can he use this opportunity to get even stronger?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Robin infiltrates the Shogun’s palace in order to collect valuable intelligence, but she’s quickly spotted by Orochi's henchmen. Can she be ninja-like and make a stealthy escape? Meanwhile, after his painful defeat by Kaido, how will Luffy escape the excavation labor camp?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The battle for Fish-Man island continues as a giant ship threatens to collide with the island and destroy everything. Can the Straw Hat pirates defeat Hody Jones and create a new bond between humans and Fish-Men? And what strange new adventures await the crew and they finally step into the New World!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...With the raid on Onigashima in sight, Kanjuro’s betrayal is revealed. He’s kidnapped Momonosuke! While the samurai are in shock, Luffy, Law and Kid work together to bring a ray of hope. It’s time to take on Kaido and save Wano!!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The Straw Hats have successfully freed the people of Dressrosa from Doflamingo's tyrranical grip, but can they make it off the island alive? With some of the Navy's strongest officers on their tail, Luffy and his crew are going to need some new allies!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The battle between Luffy and Doflamingo enters the final round. Luffy remains confident, but he'll need the aid of the people of Dressrosa if he is to have any hope of toppling this terrible tyrant. Can peace finally arrive for the long-suffering citizens of this island?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...As the battle of Onigashima heats up, Kaido’s daughter Yamato actually wants to join Luffy’s side. Meanwhile, Kaido reveals his grand plans and, together with Big Mom, prepares to plunge the entire world into fear!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Camie the mermaid offers to take Luffy and the crew to Fish-Man Island if they'll help rescue her boss Hachi from the notorious Flying Fish Riders. Ignoring all of the warning signs (hint: her boss sounds suspiciously like an old enemy!), the crew agrees to help their mermaid friend, only to end up losing Camie to other kidnappers!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and crew are shocked to learn that the Minks were hiding Raizo all along! But just why were the Minks so loyal to this mysterious ninja? When the Straw Hats learn the truth, they'll need to set their sights on taking down one of the four pirate emperors!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...With Sanji forced into a political marriage by his scheming family, Luffy and members of the Straw Hats enter enemy territory to try to rescue him. But up against Big Mom, an Emperor of the Sea, do they even stand a chance?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...Thanks to some dirty tricks, the Vinsmokes have Sanji trapped. Will he really be doomed to his fate as a pawn in a political marriage?! Meanwhile, what will happen to Luffy and the gang as they fight against some of Big Mom's strongest officers?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and crew land on Whole Cake Island to take back Sanji! Meanwhile, the preparations continue for Sanji’s wedding—including the arrival of the groom’s family! It’s gonna take more than luck for the Straw Hats to survive against the forces of Big Mom and rescue their crewmate!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...With Ivankov's help, Luffy now struggles to make his way back out of Impel Down in order to prevent the execution of his brother Ace. All the prisoners will have to work together if they ever hope to get past the dangerous Warden Magellan. But will an earth-shattering proclamation by the World Government turn everything upside down?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the “One Piece,” said to be the greatest treasure in the world...The plan to assassinate Big Mom fails in the most spectacular way! And now Luffy and his co-conspirators are in a major bind. Big Mom is furious and her fearsome pirate crew is out for blood. Can the Straw Hats find a way to escape to safety?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...As Luffy and his crew attempt to leave the laboratory, Caesar Clown undergoes a dramatic transformation. Can Luffy actually stop his dreadful ambitions?! And when Doflamingo finally makes his appearance, the situation takes a dramatic turn!!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Things are looking grim on Punk Hazard as deadly gas set off by a mad scientist envelops the island. Luffy and the rest of the Straw Hats are on a mission to both take down Caesar Clown and escape to safety before the gas can get them!"
book,"A premium box set of the first two story arcs of One Piece, one of the most beloved and bestselling manga series of all time!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally ate the Gum-Gum Fruit, an enchanted Devil Fruit that gave him the ability to stretch like rubber. Its only drawback? He'll never be able to swim again—a serious handicap for an aspiring sea dog! Years later, Luffy sets off on his quest to find the ""One Piece,"" said to be the greatest treasure in the world...This box set includes volumes 1-23, which comprise the first two story arcs, East Blue and Baroque Works. With exclusive premiums and great savings over buying the individual volumes, this set is a pirate’s treasure for any manga fan!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy continues his clash with General Katakuri, one of the toughest enemies he's ever faced. What can Luffy do against a foe who dodges his every move? Meanwhile, the other Straw Hats are on the verge of total destruction as an angry Big Mom bears down on them!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and his crew arrive in the kingdom of Dressrosa where Doflamingo has prepared a clever trap for them. Can Trafalgar Law get them out of trouble? And will Luffy win the fighting tournament and claim the prize, his late brother’s Flame-Flame Fruit?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Operation S.O.P. is in full effect! Usopp and the others search for a way to undo the magic that has turned so many of the people of Dressrosa into toys. Meanwhile, Luffy heads toward the palace with the goal of taking down the source of all the trouble, Doflamingo!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Thanks to Usopp’s accidental heroic feat, Sugar has been knocked out cold! And now with all the toy slaves finally freed, the island of Dressrosa descends into a major panic! As the rage of Doflamingo keeps increasing, he unleashes a most devious plan in retaliation!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, the One Piece.As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally ate the Gum-Gum Fruit, an enchanted Devil Fruit that gave him the ability to stretch like rubber. Its only drawback? He’ll never be able to swim again—a serious handicap for an aspiring sea dog! Years later, Luffy sets off on his quest to find the “One Piece,” said to be the greatest treasure in the world...Luffy and his Straw Hat crew duke it out with CP9, a band of dastardly World Government goons headquartered on the island of Enies Lobby. CP9’s goal? Abducting Nico Robin, the Straw Hats’ newest crew member, in order to activate an ancient weapon called Pluton. But when the enemy accidentally initiates a dreaded “Buster Call” military maneuver, the island and everyone on it is slated for complete annihilation!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Trouble is everywhere in the mysterious kingdom of Dressrosa. As his crew searches for a way to stop the island’s tyrant, Doflamingo, Luffy continues his quest to win back the Flame-Flame Fruit. But when he learns more about Rebecca and the true history of the kingdom, how will it affect his plans?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Thirteen years ago, Trafalgar Law was a young boy with an incurable, deadly illness. He credits his survival to Corazon, but what exactly happened? The secrets of Law's past are finally revealed. Meanwhile, back in the present, the battle for Dressrosa continues to heat up!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...With the epic Paramount War now over, the scene shifts back to when a young Luffy first met Ace. Luffy, Ace and their friend Sabo get into all types of trouble as they grow up in a tumultuous time. Then, back in the present, Luffy will need to find the strength to recover from the loss of his brother."
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...After risking everything he had to save his brother, Luffy experiences heartbreak as Ace dies in his arms. Whitebeard will make one last stand against the Navy forces but when the epic pirate war finally comes to an end, the entire world will be shaken!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, the One Piece.As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally ate the Gum-Gum Fruit, an enchanted Devil Fruit that gave him the ability to stretch like rubber. Its only drawback? He’ll never be able to swim again—a serious handicap for an aspiring sea dog! Years later, Luffy sets off on his quest to find the “One Piece,” said to be the greatest treasure in the world...Young Luffy’s buccaneering adventures build to a climax as he fights relentlessly to save his brother Ace, who’s slated for execution by the World Government. When powerful pirate Whitebeard steps into the fray it seems like things might start going Luffy’s way...until the Navy blasts back, and it turns out Luffy’s battle has just begun."
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...With the fate of the people of Dressrosa on the line, the Straw Hats and their allies enter the final phase of the battle against the evil Doflamingo family. But when Luffy faces off against the toughest enemy he's ever met, he'll have to reveal a brand-new ability!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and the Straw Hat crew board their trusted ship and head under the sea towards Fish-Man Island. However, getting in their way will be fierce pirates, underwater volcanoes, and a humongous sea creature!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The Straw Hat crew are the only ones standing in the way of the New Fish-Man pirates taking complete control over Fish-Man Island. And when Hody puts his diabolical plan into action, only Luffy can stop him. Luffy may have become much more powerful thanks to his training, but how can he hope to defeat a Fish-Man at the bottom of the ocean?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...With their queen dead, the people of Fish-Man Island carry on her will and hope to one day achieve her dream. But Hody Jones and the New Fish-Man pirates have other ideas, including ruling the kingdom themselves. The fate of Fish-Man Island will rest on Luffy’s shoulders, but will he destroy it instead?"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years, later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...The big powers converge as Luffy, Law, and Kid face off against Kaido and Big Mom. Is there any hope of victory against this ultimate alliance?! Onigashima quakes with power as some of the fiercest pirates in the world go head-to-head!!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Luffy and the princess of Fish-Man Island escape the castle and head to the mysterious Forest of the Sea. Meanwhile, the kingdom is under attack by dark forces. What is the source of the hatred between humans and the merfolk?!"
book,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece!As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world...Now that they’ve reached the New World, the Straw Hat pirates are up against things they’ve never seen before! Dragons, centaurs and deadly samurai are just the tip of the iceberg compared to the true dangers of Punk Hazard! Can Luffy and his mates uncover the dark secrets of this mysterious island?!"
